lemma,pos,synonyms,hypernyms
incisively,RB,exactly|incisively|precisely,NA
indiscreetly,RB,indiscreetly,NA
infectiously,RB,contagiously|infectiously,NA
insidiousness,NN,insidiousness,harmfulness|injuriousness|perfidy|perfidiousness|treachery
ISOLATIONISTIC,JJ,isolationist|isolationistic,NA
jeremiad,NN,jeremiad,complaint
joyfulness,NN,joy|joyfulness|joyousness,emotion
kilocycle,NN,kc|kHz|kilocycle|kilocycle per second|kilohertz,rate
kohlrabi,NN,Brassica oleracea gongylodes|kohlrabi|turnip cabbage,crucifer|cruciferous plant|cruciferous vegetable
lachrymal,JJ,lachrymal|lacrimal,NA
lackadaisically,RB,lackadaisically,NA
laic,JJ,laic|lay|secular,NA
Lamaism,NN,Lamaism|Tibetan Buddhism,Buddhism
langur,NN,langur,Old World monkey|catarrhine
Latinist,NN,Latinist,classicist|classical scholar
loathly,JJ,disgustful|disgusting|distasteful|foul|loathly|loathsome|repellant|repellent|repelling|revolting|skanky|wicked|yucky,NA
loganberry,NN,loganberry|Rubus loganobaccus|Rubus ursinus loganobaccus,western blackberry|western dewberry|Rubus ursinus|berry
lorgnette,NN,lorgnette,spectacles|specs|eyeglasses|glasses
lour,VB,frown|glower|lour|lower|turn down,devalue|decrease|lessen|minify|grimace|make a face|pull a face
luridly,RB,luridly,NA
macerate,VB,emaciate|macerate|waste,separate|soften|enfeeble|debilitate|drain
majorette,NN,drum majorette|majorette,baton twirler|twirler|conductor|music director|director
mealie,NN,mealie,ear|spike|capitulum
meerschaum,NN,meerschaum|sepiolite,mineral|pipe|tobacco pipe
megrim,NN,hemicrania|megrim|migraine|sick headache,headache|head ache|cephalalgia
mendaciously,RB,mendaciously|untruthfully,NA
mercifulness,NN,clemency|mercifulness|mercy,compassion|compassionateness|humaneness|lenience|leniency
microfossil,NN,microfossil,fossil
middy,NN,middy|middy blouse,blouse
modiste,NN,dressmaker|hatmaker|hatter|milliner|modiste|needlewoman|seamstress|sempstress,maker|shaper|merchant|merchandiser|garmentmaker|garment-worker|garment worker
monstrance,NN,demonstration|monstrance|ostensorium,proof|vessel
moorhen,NN,Gallinula chloropus|moorhen,gallinule|marsh hen|water hen|swamphen|red grouse|moorfowl|moorbird|moor-bird|moorgame|Lagopus scoticus
mortgagee,NN,mortgage holder|mortgagee,creditor|holder
motorman,NN,motorman,operator|manipulator
niblick,NN,niblick|nine iron,iron
nonconformism,NN,nonconformance|nonconformism|nonconformity,unorthodoxy|heterodoxy|heresy|practice|pattern
noxiousness,NN,harmfulness|noisomeness|noxiousness,unwholesomeness|morbidness|morbidity
obtrusively,RB,obtrusively,NA
OCTILLION,NN,octillion,large integer
OCTOROON,NN,octoroon,mixed-blood
odalisque,NN,odalisque,concubine|courtesan|doxy|paramour
OLEOMARGARINE,NN,margarin|margarine|marge|oleo|oleomargarine,spread|paste
orchis,NN,ball|ballock|bollock|egg|nut|orchis|testicle|testis,orchid|orchidaceous plant|male reproductive gland|gonad|sex gland
osier,NN,osier,withe|withy|willow|willow tree
overlie,VB,overlay|overlie,lie|kill
palanquin,NN,palankeen|palanquin,litter
palatalized,JJ,palatal|palatalised|palatalized,NA
paradisiacal,JJ,paradisaic|paradisaical|paradisal|paradisiac|paradisiacal,NA
Parsee,NN,Parsee|Parsi,religious person
peccadillo,NN,indiscretion|peccadillo,misbehavior|misbehaviour|misdeed
pennyworth,NN,penn'orth|pennyworth,worth
perjurer,NN,false witness|perjurer,liar|prevaricator
perverseness,NN,contrariness|perverseness|perversity,unruliness|fractiousness|willfulness|wilfulness|evil|evilness
phalarope,NN,phalarope,shorebird|shore bird|limicoline bird
pneumatically,RB,pneumatically,NA
pomade,NN,pomade|pomatum,hairdressing|hair tonic|hair oil|hair grease
predecease,VB,predecease,die|decease|perish|go|exit|pass away|expire|pass|kick the bucket|cash in one's chips|buy the farm|conk|give-up the ghost|drop dead|pop off|choke|croak|snuff it
prestissimo,JJ,prestissimo,NA
prestissimo,RB,prestissimo,NA
primula,NN,primrose|primula,herb|herbaceous plant
prospect,VB,prospect,search|look|research|explore
pruner,NN,lopper|pruner|pruning hook|trimmer,worker|pruning saw
puerperal,JJ,puerperal,NA
pullman,NN,Pullman|Pullman car,passenger car|coach|carriage
punishingly,RB,punishingly,NA
purblind,JJ,dim-sighted|near-blind|obtuse|purblind|sand-blind|visually challenged|visually impaired,NA
raffia,NN,genus Raffia|genus Raphia|raffia|Raffia|raphia|Raphia,plant fiber|plant fibre|fiber|fibre|monocot genus|liliopsid genus
rapaciously,RB,rapaciously,NA
rapaciousness,NN,edacity|esurience|greediness|rapaciousness|rapacity|voraciousness|voracity,gluttony|selfishness
ravel,VB,knot|ravel|ravel out|tangle|unravel,disentangle|unsnarl|straighten out|intertwine|twine|entwine|enlace|interlace|lace
redcap,NN,redcap,military policeman|MP|porter
remorsefully,RB,contritely|remorsefully|ruefully,NA
resplendently,RB,gorgeously|magnificently|resplendently|splendidly,NA
restfulness,NN,restfulness,inactiveness|inactivity|inertia
ribaldry,NN,gaminess|raciness|ribaldry|spiciness,wit|humor|humour|witticism|wittiness|indelicacy
roofless,JJ,dispossessed|homeless|roofless,NA
Rotarian,NN,Rotarian,member|fellow member
ruction,NN,commotion|din|ruckus|ruction|rumpus|tumult,disturbance
sanctimoniousness,NN,sanctimoniousness|sanctimony,hypocrisy
SCLEROTIC,JJ,sclerosed|sclerotic,NA
