lemma,pos,synonyms,hypernyms
a,NN,a|A|adenine|amp|ampere|angstrom|angstrom unit|antiophthalmic factor|axerophthol|deoxyadenosine monophosphate|group A|type A|vitamin A,metric linear unit|fat-soluble vitamin|nucleotide|base|purine|current unit|letter|letter of the alphabet|alphabetic character|blood group|blood type
in,RB,in|inward|inwards,NA
in,JJ,in|in(a)|in(p),NA
I,NN,1|ace|atomic number 53|i|I|iodin|iodine|one|single|unity,chemical element|element|halogen|digit|figure|letter|letter of the alphabet|alphabetic character
it,NN,information technology|IT,engineering|engineering science|applied science|technology
on,JJ,on,NA
have,NN,have|rich person|wealthy person,person|individual|someone|somebody|mortal|soul
as,RB,as|equally|every bit,NA
not,RB,non|not,NA
by,RB,aside|away|by|past,NA
will,VB,bequeath|leave|will,ordain|decide|make up one's mind|determine|give|gift|present
will,NN,testament|volition|will,faculty|mental faculty|module|purpose|intent|intention|aim|design|legal document|legal instrument|official document|instrument
all,RB,all|altogether|completely|entirely|right|totally|whole|wholly,NA
can,VB,can|dismiss|displace|fire|force out|give notice|give the axe|give the sack|put up|sack|send away|terminate|tin,preserve|keep|remove
can,NN,arse|ass|backside|bathroom|behind|bottom|bum|buns|butt|buttocks|can|can buoy|canful|commode|crapper|derriere|fanny|fundament|hind end|hindquarters|john|keister|lav|lavatory|nates|posterior|pot|potty|prat|privy|rear|rear end|rump|seat|stern|stool|tail|tail end|throne|tin|tin can|toilet|tooshie|tush,container|containerful|buoy|body part|plumbing fixture|room
one,NN,1|ace|I|one|single|unity,digit|figure|unit
do,NN,bash|brawl|do|DO|Doctor of Osteopathy|doh|ut,party|solfa syllable|doctor's degree|doctorate
there,RB,there|thither,NA
about,RB,about|almost|approximately|around|close to|just about|more or less|most|near|nearly|nigh|or so|roughly|some|virtually|well-nigh,NA
about,JJ,about(p)|astir(p),NA
so,RB,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
no,RB,no|no more,NA
any,RB,any,NA
out,JJ,extinct|forbidden|kayoed|knocked out(p)|KO'd|out|out(a)|out(p)|prohibited|proscribed|stunned|taboo|tabu|verboten,NA
much,JJ,much(a),NA
much,RB,a good deal|a great deal|a lot|lots|much|often|practically|very much,NA
like,VB,care|like|wish,desire|want|see|consider|reckon|view|regard
like,NN,ilk|like|the like|the likes of,kind|sort|form|variety|kind|sort|form|variety
like,JJ,alike(p)|comparable|corresponding|like|same|similar,NA
just,RB,barely|but|exactly|hardly|just|just now|merely|only|precisely|properly|scarce|scarcely|simply,NA
just,JJ,equitable|fair|good|just|upright,NA
get,VB,acquire|aim|amaze|arrest|arrive|baffle|beat|become|beget|begin|bewilder|bring|bring forth|bugger off|buzz off|capture|catch|cause|come|commence|contract|convey|develop|draw|drive|dumbfound|engender|experience|father|fetch|find|fix|flummox|fuck off|generate|get|get down|get under one's skin|go|gravel|grow|have|incur|induce|let|make|mother|mystify|nonplus|obtain|pay back|pay off|perplex|pose|produce|puzzle|receive|scram|set about|set out|sire|start|start out|stick|stimulate|stupefy|suffer|sustain|take|vex,change state|turn|make|get|change|transmit|transfer|transport|channel|channelize|channelise|undergo|get even|get back|score|hit|tally|rack up|seize|prehend|clutch|sicken|come down|communicate|intercommunicate|alter|modify|mean|intend|understand|attract|pull|pull in|draw|draw in|acquire|buy|purchase|hear|hurt|ache|suffer|leave|go forth|go away|catch|annoy|rag|get to|bother|get at|irritate|rile|nark|nettle|gravel|vex|chafe|devil|touch|stir|reproduce|effect|effectuate|set up|destroy|ruin|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate|experience|receive|have|create
up,VB,up,increase
up,JJ,astir(p)|improving|up|up(a)|up(p)|upward(a),NA
up,RB,up|upward|upwardly|upwards,NA
other,JJ,early(a)|former(a)|other|other(a),NA
article,NN,article|clause,nonfiction|nonfictional prose|piece|artifact|artefact|section|subdivision|determiner|determinative
only,RB,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA
only,JJ,alone(p)|lone(a)|lonesome(a)|only|only(a)|sole(a)|solitary(a),NA
know,NN,know,knowing
time,NN,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
time,VB,clock|time,quantify|measure|schedule|determine|shape|mold|influence|regulate|adjust|set|correct
also,RB,also|as well|besides|likewise|too,NA
people,NN,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
people,VB,people,populate|dwell|live|inhabit
have,VB,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
new,JJ,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,NA
then,RB,and so|so|then,NA
then,JJ,then(a),NA
use,VB,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
think,VB,believe|call back|call up|cerebrate|cogitate|conceive|consider|guess|imagine|intend|mean|opine|recall|reckon|recollect|remember|retrieve|suppose|think,evaluate|pass judgment|judge|expect|anticipate|imagine|conceive of|ideate|envisage|concentrate|focus|center|centre|pore|rivet|think|cogitate|cerebrate|believe|consider|conceive|change|alter|modify
think,NN,think,deliberation|weighing|advisement
now,RB,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
now,NN,now,present|nowadays
very,RB,rattling|real|really|very,NA
very,JJ,identical|selfsame(a)|very(a),NA
please,VB,delight|please,satisfy|gratify|wish|care|like
be,VB,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
may,NN,Crataegus laevigata|Crataegus oxycantha|English hawthorn|may|May|whitethorn,Gregorian calendar month|hawthorn|haw
first,JJ,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,NA
first,RB,first|first of all|first off|firstly|foremost,NA
first,NN,beginning|commencement|first|first base|first gear|first-class honours degree|get-go|kickoff|low|low gear|number 1|number one|offset|outset|showtime|start|starting time,rank|ordinal number|ordinal|no.|point|point in time|position|honours|honours degree|gear|gear mechanism
want,VB,desire|need|require|want,be|search|seek|look for|demand|miss|lack
want,NN,deficiency|deprivation|lack|need|neediness|privation|want|wish|wishing,poverty|poorness|impoverishment|need|demand|necessity|essential|requirement|requisite|necessary|desire
even,RB,even|still|yet,NA
even,JJ,even|fifty-fifty|level(p)|regular|tied(p),NA
even,NN,eve|even|evening|eventide,day|daytime|daylight
even,VB,even|even out|flush|level,change surface|change|alter|modify|regularize|regularise
way,NN,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage
here,RB,here|hither,NA
here,NN,Hera|here|Here,location
many,JJ,many,NA
information,NN,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
two,NN,2|deuce|II|two,digit|figure|playing card
over,RB,all over|o'er|over,NA
over,NN,over,part|section|division
work,NN,body of work|employment|oeuvre|piece of work|study|work|workplace,activity|product|production|occupation|business|job|line of work|line|learning|acquisition|energy|free energy|geographic point|geographical point|end product|output
work,VB,act|act upon|bring|crop|cultivate|do work|exercise|exploit|ferment|figure out|forge|form|function|go|influence|knead|lick|make|make for|mold|mould|operate|play|process|put to work|puzzle out|run|shape|solve|sour|turn|work|work on|work out|wreak,succeed|win|come through|bring home the bacon|deliver the goods|transform|transmute|transubstantiate|work|put to work|pass|go|proceed|move|displace|make|create|use|utilize|utilise|apply|employ|fix|prepare|set up|ready|gear up|set|be|affect|impact|bear upon|bear on|touch on|touch|operate|run|manage|deal|care|handle|stimulate|excite|stir|capture|enamour|trance|catch|becharm|enamor|captivate|beguile|charm|fascinate|bewitch|entrance|enchant|create from raw material|create from raw stuff|manipulate|understand|convert|change state|turn|become|get
system,NN,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
need,NN,demand|indigence|motivation|motive|need|pauperism|pauperization|penury|want,condition|status|necessity|essential|requirement|requisite|necessary|psychological feature|poverty|poorness|impoverishment
need,VB,ask|call for|demand|involve|necessitate|need|postulate|require|take|want,NA
go,VB,become|belong|blend|blend in|break|break down|buy the farm|cash in one's chips|choke|conk|conk out|croak|decease|depart|die|drop dead|endure|exit|expire|extend|fail|fit|function|get|get going|give out|give way|give-up the ghost|go|go away|go bad|hold out|hold up|kick the bucket|last|lead|live|live on|locomote|move|operate|pass|pass away|perish|plump|pop off|proceed|rifle|run|run low|run short|snuff it|sound|start|survive|travel|work,NA
go,NN,Adam|crack|cristal|disco biscuit|ecstasy|fling|go|go game|hug drug|offer|pass|spell|tour|turn|whirl|X|XTC,shift|work shift|duty period|methylenedioxymethamphetamine|MDMA|attempt|effort|endeavor|endeavour|try|board game
same,JJ,like|same|same(p),NA
really,RB,actually|genuinely|in truth|rattling|real|really|truly|very,NA
back,RB,back|backward|backwards|rearward|rearwards,NA
back,JJ,back(a)|hind(a)|hinder(a),NA
back,NN,back|backbone|backrest|binding|book binding|cover|dorsum|rachis|rear|spinal column|spine|vertebral column,body part|side|position|place|football player|footballer|skeletal structure|protective covering|protective cover|protection|cloth covering|support
back,VB,back|back up|bet on|endorse|gage|game|indorse|plump for|plunk for|punt|second|stake|support,approve|O.K.|okay|sanction|travel|go|move|locomote|support|back up|finance|lie|bet|wager|play|switch|change over|shift|confirm|corroborate|sustain|substantiate|affirm|strengthen
too,RB,also|as well|besides|excessively|likewise|overly|to a fault|too,NA
right,NN,right|right field|right hand|right wing|rightfield|rightfulness,abstraction|abstract|position|place|tract|piece of land|piece of ground|parcel of land|parcel|faction|sect|hand|manus|mitt|paw|turn|turning|justice|justness|interest|stake
right,JJ,correct|good|one(a)|proper|right|right-hand(a)|right(a)|ripe|veracious,NA
right,RB,all|altogether|aright|completely|correctly|decent|decently|entirely|flop|justly|mightily|mighty|powerful|properly|right|right on|totally|whole|wholly,NA
right,VB,compensate|correct|rectify|redress|right,change|alter|modify|change posture|change by reversal|turn|reverse
do,VB,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
find,VB,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow
find,NN,breakthrough|discovery|find|uncovering,insight|brainstorm|brainwave|act|deed|human action|human activity
such,JJ,such(a),NA
o,NN,atomic number 8|group O|o|O|oxygen|type O,chemical element|element|gas|letter|letter of the alphabet|alphabetic character|blood group|blood type
still,RB,all the same|at the same time|even|even so|however|nevertheless|nonetheless|notwithstanding|still|stock-still|withal|yet,NA
still,JJ,inactive|motionless|noneffervescent|placid|quiet|silent|smooth|soundless|static|still|tranquil|unruffled,NA
still,NN,distillery|hush|still|stillness,photograph|photo|exposure|picture|pic|silence|quiet|apparatus|setup|plant|works|industrial plant
still,VB,allay|calm|calm down|ease|hush|hush up|lull|quiet|quieten|relieve|shut up|silence|still|tranquilize|tranquillise|tranquillize,comfort|soothe|console|solace|suppress|stamp down|subdue|conquer|change|alter|modify
be,NN,atomic number 4|Be|beryllium|glucinium,metallic element|metal
say,NN,say,opportunity|chance
DE,NN,DE|Del.|Delaware|Diamond State|First State,NA
say,VB,allege|articulate|aver|enjoin|enounce|enunciate|order|pronounce|read|say|sound out|state|suppose|tell,express|verbalize|verbalise|utter|give tongue to|assert|asseverate|maintain|speculate|have|feature|request|convey|recite|read|register|show|record
before,RB,ahead|before|earlier|in front,NA
use,NN,consumption|economic consumption|employment|enjoyment|exercise|function|habit|manipulation|purpose|role|usage|usance|use|use of goods and services|utilisation|utilization,activity|utility|usefulness|demand|custom|usage|usance|influence|legal right
help,VB,aid|assist|avail|facilitate|help|help oneself|serve,support|back up|better|improve|amend|ameliorate|meliorate|serve|refrain|forbear|provide|supply|ply|cater|promote|advance|boost|further|encourage|exploit|work
help,NN,aid|assist|assistance|assistant|avail|help|helper|service|supporter,activity|worker|resource|helpfulness
take,VB,accept|acquire|admit|adopt|aim|ask|assume|bring|call for|carry|charter|choose|claim|conduct|consider|consume|contain|contract|convey|deal|demand|direct|drive|engage|exact|fill|film|get|get hold of|guide|have|hire|hold|ingest|involve|lead|learn|lease|look at|make|necessitate|need|occupy|pack|pick out|postulate|read|remove|rent|require|select|shoot|strike|study|submit|subscribe|subscribe to|take|take aim|take away|take in|take on|take up|train|use up|withdraw,NA
take,NN,issue|payoff|proceeds|return|take|takings|yield,income|filming|cinematography|motion-picture photography
available,JJ,available|uncommitted|usable|useable,NA
software,NN,computer software|package|software|software package|software program|software system,code|computer code
send,VB,air|beam|broadcast|charge|commit|direct|get off|institutionalise|institutionalize|mail|place|post|send|send off|send out|ship|station|transmit|transport,move|displace|transmit|transfer|transport|channel|channelize|channelise|publicize|publicise|air|bare
list,NN,inclination|lean|leaning|list|listing|tilt,database|position|spatial relation
list,VB,heel|lean|list|name|number,enumerate|recite|itemize|itemise|register|move|lean|tilt|tip|slant|angle|name|identify
problem,NN,job|problem|trouble,difficulty|question|head
off,JJ,cancelled|off|sour|turned,NA
off,VB,bump off|dispatch|hit|murder|off|polish off|remove|slay,kill
file,NN,data file|file|file cabinet|filing cabinet|Indian file|single file,record|line|office furniture|hand tool
file,VB,charge|file|file away|lodge|register,register|smooth|smoothen|march|process|accuse|impeach|incriminate|criminate|record|enter|put down
through,JJ,done|through|through with(p)|through(a),NA
never,RB,ne'er|never,NA
name,NN,epithet|figure|gens|name|public figure,language unit|linguistic unit|repute|reputation|family|family line|folk|kinfolk|kinsfolk|sept|phratry|important person|influential person|personage|sanction|defamation|calumny|calumniation|obloquy|traducement|hatchet job
name,VB,advert|appoint|be known as|bring up|call|cite|constitute|describe|diagnose|discover|distinguish|identify|key|key out|know as|list|make|mention|name|nominate|refer,label|denote|refer|appoint|charge|establish|found|plant|constitute|institute|specify|set|determine|define|fix|limit|think of|have in mind|mean|enumerate|recite|itemize|itemise|analyze|analyse|study|examine|canvass
world,NN,cosmos|creation|domain|earth|Earth|earthly concern|existence|globe|human beings|human race|humanity|humankind|humans|macrocosm|man|mankind|populace|public|reality|universe|world|worldly concern,natural object|class|stratum|social class|socio-economic class|experience|people|part|piece|concern|homo|man|human being|human|group|grouping
down,RB,down|downward|downwardly|downwards,NA
down,JJ,blue|depressed|dispirited|down|down in the mouth|down pat(p)|down(a)|down(p)|downcast|downhearted|downward(a)|gloomy|grim|low|low-spirited|mastered,NA
down,NN,down|Down|down feather|John L. H. Down|pile,feather|plume|plumage|turn|play|highland|upland|hair
last,JJ,concluding|final|last|last-place|last(a)|lowest|net|terminal|utmost,NA
last,NN,close|cobbler's last|conclusion|death|end|finale|finis|finish|last|shoemaker's last|stopping point,end|ending|rank|activity|weight unit|weight|volume unit|capacity unit|capacity measure|cubage unit|cubic measure|cubic content unit|displacement unit|cubature unit|conclusion|finish|holding device
last,VB,endure|go|hold out|hold up|last|live|live on|survive,measure
last,RB,finally|in conclusion|last|lastly,NA
read,VB,interpret|learn|read|record|register|say|scan|show|study|take|translate|understand,interpret|construe|see|have|feature|talk|speak|utter|mouth|verbalize|verbalise|predict|foretell|prognosticate|call|forebode|anticipate|promise|indicate|audition|try out|understand
read,NN,read,publication
little,NN,little,small indefinite quantity|small indefinite amount
set,VB,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten
set,NN,band|bent|circle|curing|exercise set|hardening|lot|readiness|set|Set|Seth|solidification|solidifying|stage set,collection|aggregation|accumulation|assemblage|abstraction|abstract entity|exercise|exercising|physical exercise|physical exertion|workout|representation|social group|inclination|disposition|tendency|placement|location|locating|position|positioning|emplacement|playing period|period of play|play|natural process|natural action|action|activity|descent|cognitive state|state of mind|electronic equipment
set,JJ,determined|dictated|fit(p)|fixed|hardened|laid|located|placed|primed(p)|rigid|set|set(p)|situated,NA
good,NN,commodity|good|goodness|trade good,advantage|vantage|morality|quality|artifact|artefact
own,JJ,ain|own(a),NA
own,VB,have|own|possess,NA
group,NN,chemical group|group|grouping|mathematical group|radical,abstraction|abstract entity|unit|building block|set
group,VB,aggroup|group,classify|class|sort|assort|sort out|separate|meet|gather|assemble|forgather|foregather
while,NN,patch|piece|spell|while,time
post,NN,berth|billet|C. W. Post|Charles William Post|Emily Post|Emily Price Post|mail|mail service|military post|office|place|position|post|Post|postal service|situation|spot|stake|station|Wiley Post,position|place|military installation|occupation|business|job|line of work|line|upright|vertical|collection|aggregation|accumulation|assemblage|visual signal|communication|communicating|delivery|bringing
post,VB,brand|carry|mail|place|post|put up|send|stake|station,affix|stick on|announce|denote|delegate|designate|depute|assign|move|displace|record|enter|put down|list|transfer|ride horseback|mark|install|instal|put in|set up|call
long,JJ,farseeing|farsighted|foresighted|foresightful|long|longsighted|prospicient|recollective|retentive|tenacious,NA
long,RB,long,NA
long,VB,hanker|long|yearn,desire|want
make,VB,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow
make,NN,brand|make|shuffle|shuffling,kind|sort|form|variety|reordering
good,JJ,adept|beneficial|dear|dependable|effective|estimable|expert|full|good|honest|honorable|in effect(p)|in force(p)|just|near|practiced|proficient|respectable|right|ripe|safe|salutary|secure|serious|skilful|skillful|sound|unspoiled|unspoilt|upright|well(p),NA
good,RB,good|soundly|thoroughly|well,NA
around,RB,about|approximately|around|close to|just about|more or less|or so|roughly|round|some,NA
few,JJ,few,NA
few,NN,few,elite|elite group
sure,JJ,certain|certain(p)|indisputable|sure|trusted,NA
sure,RB,certainly|for certain|for sure|sure|sure as shooting|sure enough|surely,NA
mail,NN,chain armor|chain armour|chain mail|mail|mail service|post|postal service|ring armor|ring armour|ring mail,message|communication|communicating|conveyance|transport|collection|aggregation|accumulation|assemblage|body armor|body armour|suit of armor|suit of armour|coat of mail|cataphract
mail,VB,get off|mail|post|send,send|send out|transfer
great,JJ,bang-up|big(p)|bully|capital|corking|cracking|dandy|enceinte|expectant|gravid|great|great(p)|groovy|heavy(p)|keen|large(p)|majuscule|neat|nifty|not bad(p)|old(a)|outstanding|peachy|slap-up|smashing|swell|with child(p),NA
great,NN,great,achiever|winner|success|succeeder
point,NN,breaker point|compass point|decimal point|degree|detail|distributor point|dot|full point|full stop|gunpoint|head|item|level|peak|percentage point|period|point|point in time|pointedness|power point|spot|stage|stop|tip,component|constituent|element|factor|ingredient|location|meaning|significance|signification|import|fact|state|measure|quantity|amount|aim|object|objective|target|convex shape|convexity|disk|disc|saucer|unit of measurement|unit|promontory|headland|head|foreland|part|portion|component part|relevance|relevancy|characteristic|end|terminal|direction|linear unit|linear measure|loan|punctuation|punctuation mark|mark|mathematical notation|taper|gun muzzle|muzzle|wall socket|wall plug|electric outlet|electrical outlet|outlet|electric receptacle|contact|tangency
point,VB,aim|bespeak|betoken|channelise|channelize|charge|designate|direct|guide|head|indicate|level|luff|maneuver|manoeuver|manoeuvre|orient|place|point|repoint|sharpen|show|signal|steer|taper|target,inform|lie|aim|take|train|take aim|direct|control|command|tell|sail|tag|label|mark|be|indicate|point|designate|show|change shape|change form|deform|repair|mend|fix|bushel|doctor|furbish up|restore|touch on
someone,NN,individual|mortal|person|somebody|someone|soul,organism|being|causal agent|cause|causal agency
look,VB,appear|attend|await|bank|bet|calculate|count|depend|expect|face|front|look|reckon|rely|search|see|seem|swear|take care|wait,be|examine|see|lie|care|give care|convey|match|fit|correspond|check|jibe|gibe|tally|agree|trust
look,NN,aspect|expression|face|facial expression|feel|feeling|flavor|flavour|look|looking|looking at|smell|spirit|tone,countenance|visage|sensing|perception|appearance|visual aspect|atmosphere|ambiance|ambience
computer,NN,calculator|computer|computing device|computing machine|data processor|electronic computer|estimator|figurer|information processing system|reckoner,machine|expert
under,RB,below|under,NA
under,JJ,nether|under|under(a),NA
again,RB,again|once again|once more|over again,NA
part,NN,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item
part,VB,break|break up|depart|disunite|divide|part|separate|set forth|set off|set out|split|split up|start|start out|take off,move|leave|go forth|go away|change|displace
support,NN,accompaniment|backing|backup|bread and butter|documentation|financial backing|financial support|funding|keep|livelihood|living|musical accompaniment|reenforcement|reinforcement|support|supporting|sustenance,activity|aid|assist|assistance|help|influence|operation|military operation|validation|proof|substantiation|resource|supporting structure|part|voice|device
support,VB,abide|affirm|back|back up|bear|bear out|brook|confirm|corroborate|defend|digest|endorse|endure|fend for|hold|hold up|indorse|keep going|patronage|patronise|patronize|plump for|plunk for|put up|stand|stick out|stomach|subscribe|substantiate|suffer|support|sustain|tolerate|underpin,give|approve|O.K.|okay|sanction|agree|hold|concur|concord|match|fit|correspond|check|jibe|gibe|tally|argue|reason|act|play|represent|foster|nurture|permit|allow|let|countenance
message,NN,content|message|subject matter|substance,communication
year,NN,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
free,JJ,barren|complimentary|costless|destitute|detached|devoid|free|gratis(p)|gratuitous|innocent|liberal|loose|spare,NA
free,NN,free|free people,people
free,VB,absolve|discharge|disembarrass|disengage|dislodge|exempt|free|give up|liberate|loose|release|relieve|relinquish|resign|rid|unblock|unfreeze|unloose|unloosen,remove|take|take away|withdraw|issue|supply|forgive|pass|hand|reach|pass on|turn over|give|generate|bring forth
free,RB,free|loose,NA
thing,NN,affair|matter|thing,situation|state of affairs|action|abstraction|abstract|artifact|artefact|happening|occurrence|occurrent|natural event|concern|statement|entity|attribute|aim|object|objective|target|feeling|physical entity
call,VB,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse
call,NN,birdcall|birdsong|call|Call|call option|claim|cry|margin call|outcry|phone call|shout|song|telephone call|vociferation|yell,telephone|telephony|inclination|disposition|tendency|utterance|vocalization|demand|animal communication|visit|request|asking|instruction|command|statement|program line|decision|determination|conclusion|option
program,NN,broadcast|computer program|computer programme|course of study|curriculum|plan|platform|political platform|political program|program|programme|syllabus,idea|thought|system|system of rules|show|document|written document|papers|announcement|promulgation|information|info|software|software program|computer software|software system|software package|package|performance
program,VB,program|programme,schedule|create by mental act|create mentally
line,NN,agate line|air|ancestry|argument|argumentation|assembly line|bank line|billet|blood|blood line|bloodline|business|business line|cable|channel|communication channel|contrast|course|crease|credit line|crinkle|demarcation|descent|dividing line|furrow|job|line|line of business|line of credit|line of descent|line of merchandise|line of products|line of reasoning|line of work|lineage|logical argument|melodic line|melodic phrase|melody|note|occupation|origin|parentage|pedigree|personal credit line|personal line of credit|phone line|pipeline|product line|production line|rail line|railway line|seam|short letter|stemma|stock|strain|subscriber line|telephone circuit|telephone line|transmission line|tune|wrinkle,formation|mark|print|shape|form|text|textual matter|electromagnetic radiation|electromagnetic wave|nonparticulate radiation|military position|position|reasoning|logical thinking|abstract thought|conductor|series|location|depression|impression|imprint|pipe|pipage|piping|road|route|connection|connexion|connector|connecter|connective|conformity|conformation|compliance|abidance|genealogy|family tree|artifact|artefact|activity|communication|communicating|merchandise|ware|product|carrier|common carrier|area unit|square measure|credit|music|persuasion|suasion|personal letter|differentiation|distinction|mechanical system
line,VB,delineate|describe|draw|line|run along|trace,lie|cover|mark|score|nock|fill|fill up|make full|reinforce|reenforce
day,NN,24-hour interval|Clarence Day|Clarence Shepard Day Jr.|day|Day|daylight|daytime|mean solar day|sidereal day|solar day|twenty-four hour period|twenty-four hours,time unit|unit of time|time|calendar day|civil day|time period|period of time|period|work time|era|epoch|sidereal time|opportunity|chance
experience,NN,experience,education|content|cognitive content|mental object|happening|occurrence|occurrent|natural event
experience,VB,experience|feel|get|go through|have|know|live|receive|see,undergo|experience|see|go through|change
lot,NN,band|batch|bunch|caboodle|circle|circumstances|deal|destiny|draw|fate|flock|fortune|good deal|great deal|hatful|heap|lot|Lot|luck|mass|mess|mickle|mint|mountain|muckle|passel|peck|pile|plenty|portion|pot|quite a little|raft|set|sight|slew|spate|stack|tidy sum|wad,large indefinite quantity|large indefinite amount|tract|piece of land|piece of ground|parcel of land|parcel|social group|condition|object|physical object|collection|aggregation|accumulation|assemblage
e,NN,atomic number 99|due east|e|E|east|eastward|einsteinium|Es|tocopherol|vitamin E,fat-soluble vitamin|antioxidant|metallic element|metal|cardinal compass point|transcendental number|letter|letter of the alphabet|alphabetic character
come,NN,come|cum|ejaculate|seed|semen|seminal fluid,liquid body substance|bodily fluid|body fluid|humor|humour
however,RB,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
end,NN,close|closing|conclusion|death|destruction|end|ending|goal|last|oddment|remainder|remnant|terminal,extremity|point|point in time|ending|conclusion|finish|content|cognitive content|mental object|part|section|division|state|surface|lineman|boundary|bound|bounds|topographic point|place|spot|contribution|share|subdivision|piece of cloth|piece of material
end,VB,cease|end|finish|stop|terminate,change|alter|modify|be|destroy|destruct
version,NN,adaptation|edition|interlingual rendition|interpretation|reading|rendering|translation|variant|variation|version,interpretation|type|writing|written material|piece of writing|written record|written account|representation|mental representation|internal representation|turn|turning
